Ah,50
fell,50
tomorrow,50
saw,50
beef,50
screamin,50
crack,50
past,50
record,50
found,49
playin,49
follow,49
party,49
pop,49
talking,49
true,49
tape,49
Two,49
Give,49
bust,48
mama,48
outta,48
Imma,48
loose,48
Tired,48
dream,48
along,48
pen,48
chka-chka,48
block,48
nuts,48
fun,48
track,47
four,47
touch,47
Take,47
second,47
rain,47
feet,47
most,47
Chorus:,47
sometimes,47
slut,46
dope,46
roll,46
drunk,46
Cause,46
shots,46
bag,46
against,46
least,46
called,46
Every,46
son,46
looks,46
Even,46
Hell,46
such,45
forget,45
knock,45
Of,45
death,45
five,45
wish,45
stupid,45
Still,45
sure,45
Me,45
Sometimes,45
buy,45
met,45
save,45
problem,45
spot,44
father,44
youd,44
Detroit,44
yah,44
cry,44
catch,44
thinkin,44
window,44
ball,44
rest,44
Hailie,44
Mathers,44
lyrics,44
today,43
pick,43
streets,43
caught,43
six,43
These,43
killed,43
pee,43
wake,43
drink,43
slow,43
Yall,43
stomach,43
pussy,42
picture,42
rather,42
Aint,42
Because,42
shits,42
knife,42
happy,42
50,42
shoes,42
isnt,42
moment,42
bottle,42
Shadys,42
fat,41
making,41
Back,41
understand,41
which,41
yours,41
2,41
homie,41
Cinderella,41
phone,41
meet,41
attack,41
whatever,40
killer,40
dark,40
thoughts,40
cops,40
Haha,40
motherfuckers,40
butt,40
afraid,40
bet,40
Wait,40
itll,40
bullshit,40
weed,40
red,40
roof,39
running,39
lay,39
Everybody,39
battle,39
kick,39
doin,39
fan,39
grab,39
dropped,39
drive,39
bomb,39
soul,39
fault,39
youve,39
Can,39
uh,39
fans,38
Nah,38
verse,38
hey,38
ground,38
daughter,38
plan,38
ill,38
yet,38
album,38
Hit,38
MC,38
deep,38
means,38
takes,38
having,38
women,38
pissed,37
ones,37
free,37
bein,37
chest,37
doesnt,37
business,37
scream,37
Please,37
da,37
feelin,37
Fuckin,37
twice,37
evil,36
thousand,36
anyone,36
Alright,36
voice,36
ho,36
Damn,36
Baby,36
swear,36
pants,36
rapper,36
fine,36
different,36
kind,36
weak,36
great,36
takin,36
songs,36
bite,36
between,36
nowhere,36
[Dr,35
beautiful,35
remind,35
chick,35
cock,35
happened,35
somebody,35
stage,35
haha,35
Stop,35
boys,35
deal,35
Whats,35
diss,35
rip,35
part,35
eye,35
insane,35
paper,35
actually,35
playing,35
Right,34
morning,34
trash,34
skin,34
kiss,34
goodbye,34
laugh,34
Hello,34
alive,34
Proof,34
fack,34
Tell,34
devil,34
seems,34
monster,33
MCs,33
lights,33
Are,33
forever,33
3,33
8,33
pretty,33
blew,33
strong,33
forgot,33
single,33
slap,33
Em,33
dumb,33
thinking,33
],33
either,33
piece,33
asked,33
quick,33
At,33
[Chorus,33
none,32
flip,32
respect,32
Plus,32
barely,32
seem,32
tear,32
sold,32
scared,32
attention,32
explain,32
doctor,32
Ja,32
pills,32
truth,32
ten,32
nose,32
king,32
wife,32
Too,32
anybody,32
later,32
few,32
ran,32
job,32
empty,32
startin,31
Call,31
burn,31
okay,31
Before,31
famous,31
havin,31
sad,31
breathe,31
corner,31
Uh,31
piss,31
lady,31
fame,31
Through,31
echo,31
lil,31
Make,31
Yes,31
control,31
fore,31
hide,31
reach,31
fit,31
taking,31
round,31
outside,31
Keep,31
swallow,31
makin,31
sky,31
2],31
case,30
type,30
lips,30
wear,30
extra,30
fill,30
gas,30
ahead,30
send,30
point,30
able,30
town,30
Throw,30
seat,30
Say,30
darkness,30
Off,30
young,30
Been,30
Obie,30
G,30
joke,29
store,29
neither,29
sent,29
pay,29
fake,29
turned,29
street,29
land,29
Nobody,29
smile,29
pass,29
leavin,29
pack,29
style,29
cool,29
hop,29
push,29
finger,29
punch,29
gold,29
woulda,29
kinda,29
trailer,29
standin,29
Nate,28
rush,28
common,28
Mike,28
easy,28
war,28
raps,28
fear,28
ha,28
records,28
passed,28
punk,28
sell,28
idea,28
star,28
wind,28
guys,28
rich,28
felt,28
sense,28
worlds,28
treat,28
chain,28
learn,28
heres,28
park,28
yes,28
twisted,28
breath,28
Jesus,28
pill,28
living,28
asshole,28
[,28
ripped,28
Us,28
People,28
faggot,28
bottom,27
1,27
chase,27
happens,27
